building_id,boundaries_xMin,boundaries_yMin,boundaries_xMax,boundaries_yMax,boundaries_zMax,boundaries_zMin
1.0,2185.0,2206.42,2228.6,2246.88,0.0,6.0
2.0,1706.88,1857.7,1733.0,1883.67,0.0,6.0
3.0,1476.58,1753.46,1534.54,1836.47,0.0,6.0
4.0,2073.98,2069.52,2163.68,2142.55,0.0,6.0
5.0,2173.35,2236.45,2219.25,2267.95,0.0,6.0
6.0,1511.18,1784.42,1542.13,1808.94,0.0,6.0
7.0,1328.83,1756.01,1398.37,1836.31,0.0,6.0
8.0,1394.54,2012.28,1520.44,2137.77,0.0,6.0
9.0,1767.81,2055.57,1806.83,2093.11,0.0,6.0
10.0,1688.77,1996.86,1782.14,2094.73,0.0,6.0
11.0,1418.96,1890.14,1486.12,1982.58,0.0,6.0
12.0,1777.73,1962.32,1854.27,2037.24,0.0,6.0
13.0,1733.84,2093.79,1773.57,2131.74,0.0,6.0
14.0,1633.34,1426.52,1706.48,1462.2,0.0,6.0
15.0,1318.79,2142.19,1390.77,2214.02,0.0,6.0
16.0,1290.56,2069.01,1325.3,2110.9,0.0,6.0
17.0,1273.06,2003.27,1293.82,2066.86,0.0,6.0
18.0,1286.71,2117.43,1329.43,2134.19,0.0,6.0
19.0,1826.76,1610.61,1916.85,1735.35,0.0,6.0
20.0,1979.3,2058.61,2140.99,2179.35,0.0,6.0
21.0,2484.18,1572.92,2496.83,1590.8,0.0,6.0
22.0,2402.75,2328.48,2497.46,2428.8,0.0,6.0
23.0,1854.97,1890.8,1887.19,1937.5,0.0,6.0
24.0,1788.83,1892.64,1818.72,1910.16,0.0,6.0
25.0,2170.87,1892.73,2193.75,1936.65,0.0,6.0
26.0,2158.14,1949.83,2215.63,2004.94,0.0,6.0
27.0,1834.28,1892.26,1850.33,1940.47,0.0,6.0
28.0,1866.46,1939.81,1888.47,1955.43,0.0,6.0
29.0,2113.97,1867.98,2136.0,1900.7,0.0,6.0
30.0,2093.51,1882.46,2112.24,1903.17,0.0,6.0
31.0,2363.0,1842.16,2413.51,1860.66,0.0,6.0
32.0,2362.48,1776.38,2414.68,1839.01,0.0,6.0
33.0,2274.75,1912.66,2292.54,1944.66,0.0,6.0
34.0,2298.78,1912.88,2316.75,1945.05,0.0,6.0
35.0,2323.79,1913.26,2341.69,1945.35,0.0,6.0
36.0,3530.75,2645.42,3540.71,2660.45,0.0,6.0
37.0,3591.93,2646.03,3607.74,2661.47,0.0,6.0
38.0,3918.7,2435.29,4014.15,2482.93,0.0,6.0
39.0,3585.08,2457.99,3633.02,2533.07,0.0,6.0
40.0,3795.15,2398.06,3907.59,2481.05,0.0,6.0
41.0,3776.39,2472.95,3878.27,2532.96,0.0,6.0
42.0,2592.85,2262.36,2635.12,2328.48,0.0,6.0
43.0,2587.34,2343.24,2624.54,2368.76,0.0,6.0
44.0,2537.47,2297.0,2575.19,2318.98,0.0,6.0
45.0,2581.37,2374.23,2621.39,2412.71,0.0,6.0
46.0,659.612,384.32,690.326,399.207,0.0,6.0
47.0,670.469,375.157,687.918,388.212,0.0,6.0
48.0,1994.05,1250.47,2029.13,1297.79,0.0,6.0
49.0,2066.01,1310.38,2118.67,1383.41,0.0,6.0
50.0,2036.58,1329.27,2081.57,1374.29,0.0,6.0
51.0,1973.52,1504.65,2011.24,1541.96,0.0,6.0
52.0,4211.75,2235.67,4238.58,2300.21,0.0,6.0
53.0,600.895,20.3692,675.123,113.25,0.0,6.0
54.0,349.469,587.644,382.219,625.448,0.0,6.0
55.0,1873.4,2038.32,1909.46,2078.37,0.0,6.0
56.0,1380.11,1729.88,1457.03,1745.55,0.0,6.0
57.0,1924.79,1358.87,2022.69,1456.34,0.0,6.0
58.0,2083.68,1251.12,2118.26,1281.55,0.0,6.0
59.0,1790.48,2258.72,1837.4,2282.83,0.0,6.0
60.0,2100.74,2033.46,2176.94,2081.31,0.0,6.0
61.0,2345.12,2041.87,2384.31,2089.37,0.0,6.0
62.0,1460.52,1721.72,1499.46,1770.3,0.0,6.0
63.0,633.173,435.482,650.107,469.328,0.0,6.0
64.0,337.417,320.732,360.098,345.021,0.0,6.0
65.0,1840.66,971.413,1866.98,997.268,0.0,6.0
66.0,1831.66,1090.2,1872.75,1121.8,0.0,6.0
67.0,1680.02,2360.69,1726.74,2405.67,0.0,6.0
68.0,4198.8,2231.77,4223.22,2295.45,0.0,6.0
69.0,4184.44,2228.21,4209.17,2291.69,0.0,6.0
70.0,4168.95,2224.3,4194.93,2288.1,0.0,6.0
71.0,4154.59,2220.16,4179.21,2283.82,0.0,6.0
72.0,4139.43,2215.18,4162.56,2279.45,0.0,6.0
73.0,4032.67,2198.62,4068.03,2255.47,0.0,6.0
74.0,4077.56,2078.48,4091.75,2093.94,0.0,6.0
75.0,3903.31,2011.06,3940.28,2062.12,0.0,6.0
76.0,2279.12,2239.49,2337.47,2255.2,0.0,6.0
77.0,2656.97,2126.37,2693.76,2170.78,0.0,6.0
78.0,614.115,666.036,626.783,680.258,0.0,6.0
79.0,403.844,889.313,426.094,916.716,0.0,6.0
80.0,340.658,843.146,364.099,861.94,0.0,6.0
81.0,339.118,855.29,357.448,871.309,0.0,6.0
82.0,211.308,782.175,238.843,800.753,0.0,6.0
83.0,162.954,817.621,185.529,833.597,0.0,6.0
84.0,643.324,305.602,705.968,346.968,0.0,6.0
85.0,737.711,278.014,766.045,297.446,0.0,6.0
86.0,571.621,1006.12,637.874,1101.56,0.0,6.0
87.0,608.472,920.62,631.073,946.97,0.0,6.0
88.0,538.656,1146.02,578.942,1231.41,0.0,6.0
