,OBJECTID,Name,FolderPath,PopupInfo,x,y
0,1,T00_01_01A INOVA SOFT,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 1<br>Quadra: 0<br>Endereço: AV. ALAN TURING<br>Nome Atualizado: -<br>Pot (kVA): 225<br>Medição: INDIRETO<br>TC: 800<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000012<br>Index: 128<br>MAC: 0E:EF:AF:01:C7:22<br>Latitude: -22.812911<br>Longitude: -47.060745<br>unnamed (1): ,-47.0607449999999,-22.8129109999999
1,2,T01_01_01A REITORIA IV / V,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados/T01_01_01A REITORIA IV ,Nº: 2<br>Quadra: 1<br>Endereço: R. DA REITORIA<br>Nome Atualizado: -<br>Pot (kVA): 150<br>Medição: FLEXÍVEL<br>TC: -<br>Instalado?: NÃO<br>Serial do Medidor: -<br>Index: -<br>MAC: -<br>Latitude: -22.823599<br>Longitude: -47.067359<br>unnamed (1): ,-47.067359,-22.8235989999999
2,3,T01_02_01A REITORIA IV DGRH,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 3<br>Quadra: 1<br>Endereço: R. DA REITORIA<br>Nome Atualizado: -<br>Pot (kVA): 150<br>Medição: INDIRETO<br>TC: 400<br>Instalado?: NÃO<br>Serial do Medidor: -<br>Index: -<br>MAC: -<br>Latitude: -22.823779<br>Longitude: -47.067246<br>unnamed (1): ,-47.067246,-22.8237789999999
3,4,T01_03_01A REITORIA Il,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 4<br>Quadra: 1<br>Endereço: R. DA REITORIA<br>Nome Atualizado: T01_03_01A REITORIA III<br>Pot (kVA): 150<br>Medição: FLEXÍVEL<br>TC: -<br>Instalado?: NÃO<br>Serial do Medidor: -<br>Index: -<br>MAC: -<br>Latitude: -22.823914<br>Longitude: -47.067137<br>unnamed (1): ,-47.0671369999999,-22.8239139999999
4,5,T01_04_01A REITORIA I PG/SG,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados/T01_04_01A REITORIA I PG,Nº: 5<br>Quadra: 1<br>Endereço: R. DA REITORIA<br>Nome Atualizado: -<br>Pot (kVA): 150<br>Medição: FLEXÍVEL<br>TC: -<br>Instalado?: NÃO<br>Serial do Medidor: -<br>Index: -<br>MAC: -<br>Latitude: -22.824473<br>Longitude: -47.066751<br>unnamed (1): ,-47.066751,-22.824473
5,6,T01_05_01A PREFEITURA - 1,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 6<br>Quadra: 1<br>Endereço: R. DA REITORIA<br>Nome Atualizado: -<br>Pot (kVA): 75<br>Medição: FLEXÍVEL<br>TC: -<br>Instalado?: NÃO<br>Serial do Medidor: -<br>Index: -<br>MAC: -<br>Latitude: -22.824764<br>Longitude: -47.066602<br>unnamed (1): ,-47.0666019999999,-22.824764
6,7,T01_06_01A REITORIA BANCO SANTANDER,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 7<br>Quadra: 1<br>Endereço: R. DA REITORIA<br>Nome Atualizado: -<br>Pot (kVA): 45<br>Medição: FLEXÍVEL<br>TC: -<br>Instalado?: NÃO<br>Serial do Medidor: -<br>Index: -<br>MAC: -<br>Latitude: -22.824934<br>Longitude: -47.066420<br>unnamed (1): ,-47.0664199999999,-22.8249339999999
7,8,T02_02_01A REITORIA VI,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 8<br>Quadra: 2<br>Endereço: R. DA REITORIA<br>Nome Atualizado: -<br>Pot (kVA): 500<br>Medição: INDIRETO<br>TC: 1500<br>Instalado?: PENDENCIA<br>Serial do Medidor: MB00000000000139<br>Index: 1000335<br>MAC: 0E:EF:AF:02:54:AE<br>Latitude: -22.823884<br>Longitude: -47.067091<br>unnamed (1): ,-47.0670909999999,-22.823884
8,9,T02_03_01A IDEA,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 9<br>Quadra: 2<br>Endereço: R. JOÃO PANDIÁ CALÓGERAS<br>Nome Atualizado: -<br>Pot (kVA): 112.5<br>Medição: INDIRETO<br>TC: 400<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000031<br>Index: 117<br>MAC: 0E:EF:AF:01:C7:26<br>Latitude: -22.824560<br>Longitude: -47.065557<br>unnamed (1): ,-47.065557,-22.82456
9,10,T03_01_01A ENTRADA DO HC SE1,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 10<br>Quadra: 3<br>Endereço: R. OSWALDO CRUZ<br>Nome Atualizado: T03_01_01A ENTRADA DO HC SE1<br>Pot (kVA): 1000<br>Medição: INDIRETO<br>TC: 2000<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000228<br>Index: 1000253<br>MAC: 0E:EF:AF:01:F4:AC<br>Latitude: -22.820395<br>Longitude: -47.069813<br>unnamed (1): ,-47.069813,-22.820395
10,11,T03_01_02A ENTRADA DO HC SE1,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 11<br>Quadra: 3<br>Endereço: R. OSWALDO CRUZ<br>Nome Atualizado: T03_01_02A ENTRADA DO HC SE1<br>Pot (kVA): 1000<br>Medição: INDIRETO<br>TC: 2000<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000243<br>Index: 1000217<br>MAC: 0E:EF:AF:02:5E:90<br>Latitude: -22.820395<br>Longitude: -47.069813<br>unnamed (1): ,-47.069813,-22.820395
11,12,T03_01_03A ENTRADA DO HC SE1,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 12<br>Quadra: 3<br>Endereço: R. OSWALDO CRUZ<br>Nome Atualizado: T03_01_03A ENTRADA DO HC SE1<br>Pot (kVA): 1000<br>Medição: INDIRETO<br>TC: 2000<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000249<br>Index: 1000254<br>MAC: 0E:EF:AF:01:F4:AE<br>Latitude: -22.820395<br>Longitude: -47.069813<br>unnamed (1): ,-47.069813,-22.820395
12,13,T03_01_04A ENTRADA DO HC SE1,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 13<br>Quadra: 3<br>Endereço: R. OSWALDO CRUZ<br>Nome Atualizado: T03_01_04A ENTRADA DO HC SE1<br>Pot (kVA): 750<br>Medição: INDIRETO<br>TC: 1500<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000192<br>Index: 1000299<br>MAC: 0E:EF:AF:01:F4:96<br>Latitude: -22.820395<br>Longitude: -47.069813<br>unnamed (1): ,-47.069813,-22.820395
13,14,T03_01_05A ENTRADA DO HC SE2,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 14<br>Quadra: 3<br>Endereço: R. OSWALDO CRUZ<br>Nome Atualizado: T03_02_01A ENTRADA DO HC SE2<br>Pot (kVA): 750<br>Medição: INDIRETO<br>TC: 2000<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000161<br>Index: 1000337<br>MAC: 0E:EF:AF:02:56:E2<br>Latitude: -22.826440<br>Longitude: -47.064110<br>unnamed (1): ,-47.06411,-22.8264399999999
14,15,T03_01_06A ENTRADA DO HC SE2,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 15<br>Quadra: 3<br>Endereço: R. OSWALDO CRUZ<br>Nome Atualizado: T03_02_02A ENTRADA DO HC SE2<br>Pot (kVA): 750<br>Medição: INDIRETO<br>TC: 2000<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000248<br>Index: 1000332<br>MAC: 0E:EF:AF:02:57:0C<br>Latitude: -22.826440<br>Longitude: -47.064110<br>unnamed (1): ,-47.06411,-22.8264399999999
15,16,T03_01_07A ENTRADA DO HC SE3,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 16<br>Quadra: 3<br>Endereço: R. OSWALDO CRUZ<br>Nome Atualizado: T03_03_01A ENTRADA DO HC SE3<br>Pot (kVA): 750<br>Medição: INDIRETO<br>TC: 1500<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000140<br>Index: 1000336<br>MAC: 0E:EF:AF:02:56:94<br>Latitude: -22.826190<br>Longitude: -47.064250<br>unnamed (1): ,-47.06425,-22.8261899999999
16,17,T03_01_08A ENTRADA DO HC SE3,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 17<br>Quadra: 3<br>Endereço: R. OSWALDO CRUZ<br>Nome Atualizado: T03_03_02A ENTRADA DO HC SE3<br>Pot (kVA): 750<br>Medição: INDIRETO<br>TC: 1500<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000100<br>Index: 1000303<br>MAC: 0E:EF:AF:01:F4:90<br>Latitude: -22.826190<br>Longitude: -47.064250<br>unnamed (1): ,-47.06425,-22.8261899999999
17,18,T03_01_0b SANTANDER HC,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 18<br>Quadra: 3<br>Endereço: <br>Nome Atualizado: -<br>Pot (kVA): -<br>Medição: <br>TC: -<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000250<br>Index: 1000296<br>MAC: 0E:EF:AF:02:56:D2<br>Latitude: -22.826832<br>Longitude: -47.066387<br>unnamed (1): ,-47.066387,-22.826832
18,19,T03_01_0 CANTINA AFRODITE 2 DENTRO DO HC,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 19<br>Quadra: 3<br>Endereço: <br>Nome Atualizado: -<br>Pot (kVA): <br>Medição: DIRETO<br>TC: -<br>Instalado?: SIM<br>Serial do Medidor: M132010000000017<br>Index: 1000418<br>MAC: 0C:EF:AF:D2:54:94<br>Latitude: -22.826269<br>Longitude: -47.065029<br>unnamed (1): ,-47.065029,-22.826269
19,20,T03_02_01A FCM - BIBLIOTECA,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 20<br>Quadra: 3<br>Endereço: R. OSWALDO CRUZ<br>Nome Atualizado: -<br>Pot (kVA): 225<br>Medição: FLEXÍVEL<br>TC: -<br>Instalado?: NÃO<br>Serial do Medidor: -<br>Index: -<br>MAC: -<br>Latitude: -22.826012<br>Longitude: -47.066929<br>unnamed (1): ,-47.066929,-22.8260119999999
20,21,T03_03_01A ILUMINAÇÃO PÚBLICA,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 21<br>Quadra: 3<br>Endereço: R. ADOLPHO LUTZ<br>Nome Atualizado: -<br>Pot (kVA): 30<br>Medição: DIRETO<br>TC: -<br>Instalado?: SIM<br>Serial do Medidor: M132010000000029<br>Index: 1000436<br>MAC: 0C:EF:AF:D2:54:50<br>Latitude: -22.827235<br>Longitude: -47.067254<br>unnamed (1): ,-47.0672539999999,-22.827235
21,22,T03_04_01A CAISM (entrada 2),Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 22<br>Quadra: 3<br>Endereço: R. ADOLPHO LUTZ<br>Nome Atualizado: -<br>Pot (kVA): 225<br>Medição: INDIRETO<br>TC: 600<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000204<br>Index: 1000230<br>MAC: 0E:EF:AF:02:56:60<br>Latitude: -22.827987<br>Longitude: -47.066449<br>unnamed (1): ,-47.066449,-22.827987
22,23,T03_05_01A CAISM Cabine,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 23<br>Quadra: 3<br>Endereço: R. ALEXANDRE FLEMING<br>Nome Atualizado: -<br>Pot (kVA): 500<br>Medição: INDIRETO<br>TC: 1500<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000245<br>Index: 1000209<br>MAC: 0E:EF:AF:02:54:AA<br>Latitude: -22.827942<br>Longitude: -47.065524<br>unnamed (1): ,-47.065524,-22.827942
23,24,T03_05_02B CAISM Cabine,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 24<br>Quadra: 3<br>Endereço: R. ALEXANDRE FLEMING<br>Nome Atualizado: -<br>Pot (kVA): 500<br>Medição: INDIRETO<br>TC: 1500<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000205<br>Index: 1000208<br>MAC: 0E:EF:AF:01:F4:BC<br>Latitude: -22.827997<br>Longitude: -47.065510<br>unnamed (1): ,-47.06551,-22.827997
24,25,T03_05_03C CAISM Cabine,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 25<br>Quadra: 3<br>Endereço: R. ALEXANDRE FLEMING<br>Nome Atualizado: -<br>Pot (kVA): 500<br>Medição: INDIRETO<br>TC: 1500<br>Instalado?: SIM<br>Serial do Medidor: MB00000000000246<br>Index: 1000212<br>MAC: 0E:EF:AF:02:56:9E<br>Latitude: -22.827892<br>Longitude: -47.065665<br>unnamed (1): ,-47.065665,-22.827892
25,26,T03_05_0a CANTINA DA LUZ EM FRENTE AO CAISM,Pontos de Acesso - Expansões 2 e 3/Medidores Atualizados,Nº: 26<br>Quadra: 3<br>Endereço: <br>Nome Atualizado: -<br>Pot (kVA): -<br>Medição: DIRETO<br>TC: -<br>Instalado?: SIM<br>Serial do Medidor: M132010000000052<br>Index: 1000140<br>MAC: 0E:EF:AF:01:F4:30<br>Latitude: -22.828208<br>Longitude: -47.065454<br>unnamed (1): ,-47.0654539999999,-22.828208
