BASE,N_CONT,LATITUDE,LONGITUDE
1,4,-22.824351,-47.059808
2,1,-22.823597,-47.060283
3,2,-22.824440,-47.061506
4,1,-22.820314,-47.060398
5A,2,-22.819888,-47.059931
5B,1,-22.818207,-47.059545
6,2,-22.818182,-47.060924
7,2,-22.817975,-47.061777
8,2,-22.813436,-47.063488
9,2,-22.813693,-47.063418
10,2,-22.813777,-47.063279
11,2,-22.816719,-47.062554
12,2,-22.817169,-47.062629
13A,2,-22.814627,-47.057544
13B,1,-22.814172,-47.059304
14,1,-22.813727,-47.059593
15,2,-22.812808,-47.064657
16,1,-22.813084,-47.065859
17,3,-22.813965,-47.064818
18,2,-22.817238,-47.063895
19,4,-22.820561,-47.066567
20,2,-22.821500,-47.068777
21A,2,-22.819473,-47.064711
21B,2,-22.820452,-47.063434
22,2,-22.815913,-47.063531
23,2,-22.815122,-47.063713
24,4,-22.812531,-47.068133
25,2,-22.812719,-47.068809
26A,5,-22.816813,-47.072575
26B,2,-22.817020,-47.072221
27,2,-22.816388,-47.071717
28,4,-22.815458,-47.072457
29,4,-22.813816,-47.070773
30,2,-22.813846,-47.069904
31,4,-22.814044,-47.068605
32,3,-22.814696,-47.067393
33,3,-22.815626,-47.066599
34,2,-22.815982,-47.066256
35,4,-22.817060,-47.065945
36,1,-22.817030,-47.064475
37,2,-22.818751,-47.065247
38,2,-22.817980,-47.066191
39,3,-22.817386,-47.066095
40,4,-22.819043,-47.066862
41,3,-22.819567,-47.067232
42,2,-22.819809,-47.067704
43,2,-22.820393,-47.069507
44,2,-22.820403,-47.070392
45,2,-22.819765,-47.070494
46,2,-22.818964,-47.070499
47,4,-22.818425,-47.070515
48,2,-22.821738,-47.064759
49,2,-22.822929,-47.063751
50,2,-22.824185,-47.064046
51,2,-22.822425,-47.065328
52,2,-22.824788,-47.065102
53,2,-22.825396,-47.066508
54,2,-22.823780,-47.068042
55,2,-22.823191,-47.066819
56,2,-22.822746,-47.065875
57,2,-22.824116,-47.064984
58,2,-22.827547,-47.067350
59,3,-22.830707,-47.062168
60,2,-22.829629,-47.062195
61,3,-22.829515,-47.063820
62,3,-22.828852,-47.065676
63,2,-22.828363,-47.064555
64,3,-22.828175,-47.063928
65,3,-22.827691,-47.062989
66,3,-22.827097,-47.063085
67,2,-22.826949,-47.067490
68A,3,-22.827611,-47.061170
68B,1,-22.829139,-47.060280
68C,1,-22.826197,-47.061970
69,2,-22.828358,-47.062388
70,1,-22.813114,-47.060473
