rssi,x,y,z
-95,2880.508009597717,2146.909212840721,1.5
-96,2880.508009597717,2146.909212840721,1.5
-94,2840.567241482611,2146.574354832992,1.5
-103,2788.339573148231,2151.052777502686,1.5
-103,2738.441584267013,2165.200396582484,1.5
-99,2698.49995316827,2187.018956864253,1.5
-97,2698.49995316827,2187.018956864253,1.5
-100,2692.192434560682,2190.143323734403,1.5
-101,2692.192434560682,2190.143323734403,1.5
-104,2692.190890590951,2190.25407120958,1.5
-109,2683.466420683311,2197.332423187792,1.5
-97,2671.228066948301,2206.023313606158,1.5
-95,2539.082245278812,2241.841770090163,1.5
-92,2539.082245278812,2241.841770090163,1.5
-103,2337.764828145911,2274.699520401657,1.5
-112,2337.764828145911,2274.699520401657,1.5
-94,2337.764828145911,2274.699520401657,1.5
-100,2265.507285305299,2286.871873762459,1.5
-97,2265.507285305299,2286.871873762459,1.5
-99,2170.966815593361,2291.643267788924,1.5
-96,2147.620332129824,2198.713792972267,1.5
-112,2160.813481150893,2180.510476410389,1.5
-117,2236.219327580824,2023.828679116443,1.5
-105,2154.259410294064,1642.96572548151,1.5
-110,2067.484752709337,1540.619792506099,1.5
-108,2031.799857309787,1515.086726718582,1.5
-114,1995.461514518189,1484.892100428231,1.5
-115,1975.652880901122,1469.550269085914,1.5
-111,1874.716185294383,1403.448042564094,1.5
-115,1856.89435684745,1392.896945078857,1.5
-112,1853.430175942776,1390.96535700839,1.5
-115,1828.087617888988,1382.192003274336,1.5
-112,1809.106129073247,1388.461600871757,1.5
-107,1781.348798245599,1442.128473293968,1.5
-109,1781.348798245599,1442.128473293968,1.5
-108,1778.1804811373,1448.397971685976,1.5
-100,1778.1804811373,1448.397971685976,1.5
-98,1768.849818288174,1469.424299795181,1.5
-94,1770.522357043112,1518.629482664168,1.5
-101,1770.522357043112,1518.629482664168,1.5
-100,1824.070737202419,1551.7241462823,1.5
-102,1873.292277667846,1593.176519389264,1.5
-106,1888.577907757426,1616.209038360044,1.5
-116,1909.440028449928,1636.993426730856,1.5
-104,1972.45120092557,1867.168188972399,1.5
-110,1971.577252891613,1900.276051742956,1.5
-110,1964.406558178074,1935.732747239992,1.5
-108,1954.936880496738,1974.037283169106,1.5
-109,1987.314658898104,2008.496493728831,1.5
-110,1987.314658898104,2008.496493728831,1.5
-108,2090.525747623702,2051.810800354928,1.5
-110,2143.086709324329,2074.921026397496,1.5
-107,2162.572360736725,2084.054939361289,1.5
-113,2162.572360736725,2084.054939361289,1.5
-113,2162.572360736725,2084.054939361289,1.5
-112,2174.214544066577,2088.648431384936,1.5
-115,2149.176915818418,2168.163203297183,1.5
-110,2133.980431130331,2190.104666417465,1.5
-114,2085.859142632107,2246.035111467354,1.5
-112,2071.612366827787,2258.795942377299,1.5
-112,1883.079859006451,2346.546679849736,1.5
-113,1702.190819976502,2203.669126404449,1.5
-110,1609.537438458123,2213.004985570908,1.5
-113,1424.124554104928,2165.987023414113,1.5
-111,1352.375203327159,2090.653945498168,1.5
-111,1352.375203327159,2090.653945498168,1.5
-110,1309.448403963121,1907.945782527328,1.5
-112,1309.448403963121,1907.945782527328,1.5
-112,1309.448403963121,1907.945782527328,1.5
-110,1312.735208586964,1900.570321438834,1.5
-110,1312.735208586964,1900.570321438834,1.5
-109,1317.830544304568,1844.8137594359,1.5
-113,1317.830544304568,1844.8137594359,1.5
-111,1335.256117962068,1744.589931558818,1.5
-109,1362.064937012212,1678.171838492155,1.5
-107,1362.064937012212,1678.171838492155,1.5
-111,1342.704554063268,1660.176959133707,1.5
-104,1342.828889762808,1651.317104706541,1.5
-109,1353.334635814826,1627.095137808472,1.5
-109,1353.75151177228,1626.657907907851,1.5
-110,1354.179266640509,1625.445440750569,1.5
-110,1354.179266640509,1625.445440750569,1.5
-109,1354.179266640509,1625.445440750569,1.5
-106,1358.651262824947,1614.098887301981,1.5
-111,1475.552264533297,1464.427180733532,1.5
-107,1565.85646091128,1366.000636832789,1.5
-112,1565.85646091128,1366.000636832789,1.5
-109,1565.85646091128,1366.000636832789,1.5
-108,1565.85646091128,1366.000636832789,1.5
-111,1568.262738898804,1362.822047885507,1.5
-112,1589.804113409657,1335.099278800189,1.5
-112,1645.508323253889,1294.895272916183,1.5
-110,1662.91946955485,1261.465268884785,1.5
-106,1679.632544697146,1241.207076293416,1.5
-110,1701.7944172555,1220.471372839063,1.5
-109,1753.065086847229,1144.869347375818,1.5
-106,1753.065086847229,1144.869347375818,1.5
-113,1823.881154886971,1066.660931922495,1.5
-110,1925.244175273401,955.4274687459692,1.5
-115,1942.260248289385,942.8163933977485,1.5
-111,1943.078426885651,943.0493859853595,1.5
-110,1955.96706790122,946.5528911752626,1.5
-107,1955.96706790122,946.5528911752626,1.5
-108,2024.410201201856,979.0801142342389,1.5
-108,2024.410201201856,979.0801142342389,1.5
-109,2055.62121277157,994.0276295803487,1.5
-110,2087.178579360421,998.8998887185007,1.5
-105,1993.32415589405,911.1863874848932,1.5
-109,1993.32415589405,911.1863874848932,1.5
-109,1989.343678947946,909.4691342199221,1.5
-108,1989.343678947946,909.4691342199221,1.5
-109,1848.502370875853,789.6383044971153,1.5
-109,2226.002875877253,484.7660468071699,1.5
-107,2226.002875877253,484.7660468071699,1.5
-109,2226.002875877253,484.7660468071699,1.5
-114,2374.527894447732,480.8605313338339,1.5
-111,2451.113874095201,496.3304800065234,1.5
-111,2451.113874095201,496.3304800065234,1.5
-108,2484.276407417434,474.4182336106896,1.5
-107,2484.276407417434,474.4182336106896,1.5
-109,2600.953459362441,479.1487901983783,1.5
-114,2600.953459362441,479.1487901983783,1.5
-113,2504.742214557074,722.0519793219864,1.5
-112,2479.606515626772,779.4118210617453,1.5
-112,2614.24970460654,504.9220760660246,1.5
-108,2614.24970460654,504.9220760660246,1.5
-114,2614.24970460654,504.9220760660246,1.5
-115,2614.24970460654,504.9220760660246,1.5
-111,2614.24970460654,504.9220760660246,1.5
-102,2614.24970460654,504.9220760660246,1.5
-109,2614.24970460654,504.9220760660246,1.5
-107,2614.24970460654,504.9220760660246,1.5
-108,2614.24970460654,504.9220760660246,1.5
-112,2614.24970460654,504.9220760660246,1.5
-111,2614.24970460654,504.9220760660246,1.5
-106,2614.24970460654,504.9220760660246,1.5
-107,2614.24970460654,504.9220760660246,1.5
-109,2614.24970460654,504.9220760660246,1.5
-107,2614.24970460654,504.9220760660246,1.5
-110,2614.24970460654,504.9220760660246,1.5
-110,2614.24970460654,504.9220760660246,1.5
-112,2614.24970460654,504.9220760660246,1.5
-110,2614.24970460654,504.9220760660246,1.5
-109,2614.24970460654,504.9220760660246,1.5
-105,2614.24970460654,504.9220760660246,1.5
-107,2614.24970460654,504.9220760660246,1.5
-110,2614.24970460654,504.9220760660246,1.5
-110,2614.24970460654,504.9220760660246,1.5
-108,2614.24970460654,504.9220760660246,1.5
-94,2614.24970460654,504.9220760660246,1.5
-95,2614.24970460654,504.9220760660246,1.5
-99,2614.24970460654,504.9220760660246,1.5
-98,2614.24970460654,504.9220760660246,1.5
-99,2613.140576404694,503.4665954317898,1.5
-99,2472.155214321392,474.8027958348393,1.5
-97,2472.155214321392,474.8027958348393,1.5
-100,2472.155214321392,474.8027958348393,1.5
-98,2472.155214321392,474.8027958348393,1.5
-101,2443.563568026992,470.8588254824281,1.5
-99,2429.638223427057,431.3411636650562,1.5
-98,2414.391282560013,376.1865267753601,1.5
-99,2414.391282560013,376.1865267753601,1.5
-98,2414.399018751166,375.6327876858413,1.5
-96,2413.198094105755,373.4006210304797,1.5
-99,2409.944286725193,246.1918380316347,1.5
-95,2399.797924201936,215.4776985812932,1.5
-99,2347.03178871132,236.8942173589021,1.5
-101,2282.274363457051,271.4352740067989,1.5
-100,2148.828404649335,401.2741652019322,1.5
-106,1842.823410010722,747.9093326665461,1.5
-104,1892.846063725941,893.2751449067146,1.5
-104,1892.846063725941,893.2751449067146,1.5
-106,1971.576379419363,953.7498636525124,1.5
-102,2044.269318603736,990.7672557011247,1.5
-101,2044.269318603736,990.7672557011247,1.5
-106,2042.757307711698,988.7522475272417,1.5
-102,2595.394199916453,1547.108062578365,1.5
-102,2595.394199916453,1547.108062578365,1.5
-107,2609.329718685476,1593.382442609407,1.5
-102,2621.629729401728,1631.769377335906,1.5
-105,2645.77224949497,1704.549125723541,1.5
-103,2645.77224949497,1704.549125723541,1.5
-98,2635.610360288352,1755.804253358394,1.5
-93,2635.610360288352,1755.804253358394,1.5
-98,2560.073605086945,1752.978190739639,1.5
-101,2534.225190487516,1750.955974739045,1.5
-87,2534.225190487516,1750.955974739045,1.5
-97,2448.818669092958,1748.988547032699,1.5
-88,2336.143419532687,1743.759782294743,1.5
-100,2348.730641896371,1879.184886971489,1.5
-93,2351.49281416618,1931.39578936249,1.5
-83,2343.360783098207,2013.694554714486,1.5
-89,2343.360783098207,2013.694554714486,1.5
-79,2343.360783098207,2013.694554714486,1.5
-86,2343.360783098207,2013.694554714486,1.5
-81,2343.360783098207,2013.694554714486,1.5
-89,2325.310762463254,2100.285573616624,1.5
-78,2325.310762463254,2100.285573616624,1.5
-66,2325.310762463254,2100.285573616624,1.5
-70,2305.480821932259,2145.202477079816,1.5
-81,2284.39245977276,2191.984862973914,1.5
-77,2239.415917532577,2272.771991290152,1.5
-78,2239.415917532577,2272.771991290152,1.5
-78,2073.14155890845,2259.592709098011,1.5
-87,2073.14155890845,2259.592709098011,1.5
-84,2221.692533914815,2306.530550250784,1.5
-86,2376.833671384666,2278.678880302235,1.5
-85,2441.275857695204,2267.283082291484,1.5
-78,2481.295851350354,2261.970841145143,1.5
-78,2526.781959442364,2254.962454856373,1.5
-76,2604.167811469233,2243.192723581567,1.5
-77,2657.724459659599,2224.444227174856,1.5
-77,2681.308827472327,2212.145388945937,1.5
-76,2788.646843336115,2158.478578375652,1.5
-77,2788.646843336115,2158.478578375652,1.5
-74,2892.0362616973,2159.697439050302,1.5
-79,2853.445429729181,2143.54146819748,1.5
-80,2853.445429729181,2143.54146819748,1.5
-79,2853.445429729181,2143.54146819748,1.5
-77,2848.851618665969,2141.594399757683,1.5
-80,2848.851618665969,2141.594399757683,1.5
-80,2848.851618665969,2141.594399757683,1.5
-81,2848.851618665969,2141.594399757683,1.5
-82,2848.851618665969,2141.594399757683,1.5
-83,2848.851618665969,2141.594399757683,1.5
-79,2848.851618665969,2141.594399757683,1.5
-81,2851.212971978064,2141.62729635369,1.5
-84,2851.212971978064,2141.62729635369,1.5
-75,2851.212971978064,2141.62729635369,1.5
-62,2851.212971978064,2141.62729635369,1.5
-87,2851.212971978064,2141.62729635369,1.5
-71,2859.42020349513,2142.184706036001,1.5
-61,2867.222935962665,2142.2934009647,1.5
-57,2867.222935962665,2142.2934009647,1.5
-51,2873.894782690506,2142.497107936069,1.5
-50,2880.157501848473,2142.584344245493,1.5
-51,2892.68448219361,2142.648061702028,1.5
-50,2892.68448219361,2142.648061702028,1.5
-51,2908.760769112967,2138.551985033788,1.5
-51,2908.760769112967,2138.551985033788,1.5
-53,2917.54061615892,2127.486608464271,1.5
-52,2919.559160346631,2122.640890724957,1.5
-52,2916.922198589251,2120.278020098805,1.5
-52,2916.922198589251,2120.278020098805,1.5
-51,2915.000824248826,2118.146652731113,1.5
-52,2915.000824248826,2118.146652731113,1.5
